# Generated by tools/wikimedia_images.py --route category on 2026-09-17. Do not edit by hand.
# Source: a Wikimedia Commons category named for each chassis no article describes, via the Commons API.
# The claim is only that Commons editors filed the file there; the build holds these rows at 'catalogued'.
# Each file carries its OWN licence. No image is stored here or in the database.
# chassis_id|category|file_name|repository|licence|licence_url|artist|credit|description_url|width|height|name_matches
ags-jh21c|Category:AGS JH21C|File:AGS JH21C 1986 (27082681156).jpg|commons|CC BY-SA 2.0|https://creativecommons.org/licenses/by-sa/2.0|Falcon® Photography from France|AGS JH21C 1986|https://commons.wikimedia.org/wiki/File:AGS_JH21C_1986_(27082681156).jpg|800|527|1
alfa-romeo-179b|Category:Alfa Romeo 179B|File:Alfa Romeo 179B, Museo Nazionale dell'Automobile di Torino (2).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|Tony Harrison from Farnborough, UK|IMG_7552|https://commons.wikimedia.org/wiki/File:Alfa_Romeo_179B,_Museo_Nazionale_dell%27Automobile_di_Torino_(2).jpg|800|533|1
alfa-romeo-179d|Category:Alfa Romeo 179D|File:Alfa Romeo 179D (32337384733) (2).jpg|commons|CC BY-SA 2.0|https://creativecommons.org/licenses/by-sa/2.0|Falcon® Photography from France|Alfa Romeo F1|https://commons.wikimedia.org/wiki/File:Alfa_Romeo_179D_(32337384733)_(2).jpg|800|340|1
alpine-a524|Category:Alpine A524|File:2024 British Grand Prix, Gasly (1).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|Jen Ross|https://www.flickr.com/photos/69527563@N05/54041553997/|https://commons.wikimedia.org/wiki/File:2024_British_Grand_Prix,_Gasly_(1).jpg|800|407|0
alpine-a525|Category:Alpine A525|File:2025 Japan GP - Alpine - Ryo Hirakawa - FP1.jpg|commons|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Liauzh|Own work|https://commons.wikimedia.org/wiki/File:2025_Japan_GP_-_Alpine_-_Ryo_Hirakawa_-_FP1.jpg|800|450|0
alta-f2|Category:Alta F2|File:1952 Alta F2 at Silverstone Classic 2011.jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|David Merrett from Daventry, England|1952 Alta F2|https://commons.wikimedia.org/wiki/File:1952_Alta_F2_at_Silverstone_Classic_2011.jpg|800|531|1
amon-af101|Category:Amon AF101|File:Amon AF101 Ronnie Peterson Historic GP Anderstorp 2008 (2558747623).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|nakhon100|Amon|https://commons.wikimedia.org/wiki/File:Amon_AF101_Ronnie_Peterson_Historic_GP_Anderstorp_2008_(2558747623).jpg|800|600|1
aston-butterworth-nb42|Category:Aston Butterworth NB42|File:Aston Butterworth NB42 at Crystal Palace 2015.jpg|commons|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Eagleash|Own work|https://commons.wikimedia.org/wiki/File:Aston_Butterworth_NB42_at_Crystal_Palace_2015.jpg|800|600|1
aston-martin-amr23|Category:Aston Martin AMR23|File:2023 Aston Martin AMR23.jpg|commons|CC0|http://creativecommons.org/publicdomain/zero/1.0/deed.en|Calreyn88|Own work|https://commons.wikimedia.org/wiki/File:2023_Aston_Martin_AMR23.jpg|800|510|1
aston-martin-amr24|Category:Aston Martin AMR24|File:2024 Aston Martin AMR24.jpg|commons|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|MrWalkr|Own work|https://commons.wikimedia.org/wiki/File:2024_Aston_Martin_AMR24.jpg|800|429|1
aston-martin-amr25|Category:Aston Martin AMR25|File:2025 Japan GP - Aston Martin - AMR25 - Thursday.jpg|commons|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Liauzh|Own work|https://commons.wikimedia.org/wiki/File:2025_Japan_GP_-_Aston_Martin_-_AMR25_-_Thursday.jpg|800|450|1
aston-martin-amr26|Category:Aston Martin AMR26|File:2026 Chinese GP - Aston Martin - AMR26.jpg|commons|CC BY 4.0|https://creativecommons.org/licenses/by/4.0|Liauzh|Own work|https://commons.wikimedia.org/wiki/File:2026_Chinese_GP_-_Aston_Martin_-_AMR26.jpg|800|450|1
ats-100|Category:ATS Tipo 100|File:P. Hill at 1963 Dutch Grand Prix.jpg|commons|CC BY-SA 3.0 nl|https://creativecommons.org/licenses/by-sa/3.0/nl/deed.en|Harry Pot|http://proxy.handle.net/10648/aa3be5cc-d0b4-102d-bcf8-003048976d84|https://commons.wikimedia.org/wiki/File:P._Hill_at_1963_Dutch_Grand_Prix.jpg|800|531|0
ats-wheels-d3|Category:ATS D3|File:Rétromobile 2018 - ATS D3 - 1979 - 001.jpg|commons|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Thesupermat|Own work|https://commons.wikimedia.org/wiki/File:R%C3%A9tromobile_2018_-_ATS_D3_-_1979_-_001.jpg|800|533|1
ats-wheels-d4|Category:ATS D4|File:Marc Surer ATS 1980.jpg|commons|Public domain||Unknown author Unknown author|Revista Corsa|https://commons.wikimedia.org/wiki/File:Marc_Surer_ATS_1980.jpg|800|1111|0
audi-r26|Category:Audi R26|File:2026 Chinese GP - Audi - R26.jpg|commons|CC BY 4.0|https://creativecommons.org/licenses/by/4.0|Liauzh|Own work|https://commons.wikimedia.org/wiki/File:2026_Chinese_GP_-_Audi_-_R26.jpg|800|450|1
brabham-bt18|Category:Brabham BT18|File:Brabham BT18 Mallory Park.JPG|commons|CC BY-SA 3.0|https://creativecommons.org/licenses/by-sa/3.0|TOM at Picassa .|http://picasaweb.google.com/EMBLETON66/MALLORYPARK12907#5109413713153560306|https://commons.wikimedia.org/wiki/File:Brabham_BT18_Mallory_Park.JPG|800|510|1
brabham-bt33|Category:Brabham BT33|File:1971 Brabham BT33 (19698941594).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|David Merrett from Daventry, England|1971 Brabham BT33|https://commons.wikimedia.org/wiki/File:1971_Brabham_BT33_(19698941594).jpg|800|532|1
brabham-bt42|Category:Brabham BT42|File:1973 Brabham BT42, Melbourne, 2008.JPG|commons|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Bahnfrend|Own work|https://commons.wikimedia.org/wiki/File:1973_Brabham_BT42,_Melbourne,_2008.JPG|800|600|1
brabham-bt45c|Category:Brabham BT45C|File:Lauda driving brabham.jpg|commons|Public domain||Oscar Mosteirin|El Gráfico|https://commons.wikimedia.org/wiki/File:Lauda_driving_brabham.jpg|800|1026|0
brabham-bt49c|Category:Brabham BT49C|File:1981 Brabham BT49C (19700817283).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|David Merrett from Daventry, England|1981 Brabham BT49C|https://commons.wikimedia.org/wiki/File:1981_Brabham_BT49C_(19700817283).jpg|800|532|1
brabham-bt49d|Category:Brabham BT49D|File:2005 Brands Hatch A1GP 25 Sept Christian Glaesel Brabham BT49D.jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|edvvc|photo taken by edvvc . Source: Flickr|https://commons.wikimedia.org/wiki/File:2005_Brands_Hatch_A1GP_25_Sept_Christian_Glaesel_Brabham_BT49D.jpg|800|639|1
brm-p15|Category:BRM P15|File:BRM P15 V16 Mk1 at Formula 1 Exhibition, London.jpg|commons|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Hullian111|Own work|https://commons.wikimedia.org/wiki/File:BRM_P15_V16_Mk1_at_Formula_1_Exhibition,_London.jpg|800|533|1
brm-p153|Category:BRM P153|File:BRM P153.jpg|commons|CC BY-SA 3.0|https://creativecommons.org/licenses/by-sa/3.0|John Chapman ( Pyrope )|Own work|https://commons.wikimedia.org/wiki/File:BRM_P153.jpg|800|600|1
brm-p160e|Category:BRM P160E|File:Niki Lauda 1972 F1 BRM P160E.jpg|commons|CC BY 4.0|https://creativecommons.org/licenses/by/4.0|BWard 1997|Own work|https://commons.wikimedia.org/wiki/File:Niki_Lauda_1972_F1_BRM_P160E.jpg|800|473|1
connaught-a|Category:Connaught Type A|File:Connaught A Silverstone 2007.jpg|commons|CC BY-SA 3.0|http://creativecommons.org/licenses/by-sa/3.0/|John Chapman ( Pyrope )|Own work|https://commons.wikimedia.org/wiki/File:Connaught_A_Silverstone_2007.jpg|800|600|1
connew-pc1|Category:Connew PC1|File:Connew PC1 2.JPG|commons|CC BY 3.0|https://creativecommons.org/licenses/by/3.0|Xabi Rome-Hérault|Own work|https://commons.wikimedia.org/wiki/File:Connew_PC1_2.JPG|800|443|1
cooper-t12|Category:Cooper T12|File:Cooper T12.jpg|commons|Public domain||Jiří Žemlička at Czech Wikipedia|Transferred from cs.wikipedia to Commons.|https://commons.wikimedia.org/wiki/File:Cooper_T12.jpg|800|300|1
cooper-t24|Category:Cooper T24|File:Cooper T24.jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|John Harwood|VSCC Oulton Park 2009 Uploaded by Sporti|https://commons.wikimedia.org/wiki/File:Cooper_T24.jpg|800|480|1
cooper-t40|Category:Cooper T40|File:Cooper T40 Bristol of Jack Brabham (1955 AGP).jpg|commons|Public domain||Unknown author Unknown author|Unknown source Unknown source|https://commons.wikimedia.org/wiki/File:Cooper_T40_Bristol_of_Jack_Brabham_(1955_AGP).jpg|800|541|1
cooper-t41|Category:Cooper T41|File:Cooper T41 Donington 2007.jpg|commons|CC BY-SA 3.0|https://creativecommons.org/licenses/by-sa/3.0|John Chapman ( Pyrope )|Own work|https://commons.wikimedia.org/wiki/File:Cooper_T41_Donington_2007.jpg|800|602|1
cooper-t43|Category:Cooper T43|File:Cooper T43 2017 Silverstone Classic (26572399588).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|https://www.flickr.com/photos/davehamster/|https://www.flickr.com/photos/davehamster/26572399588/|https://commons.wikimedia.org/wiki/File:Cooper_T43_2017_Silverstone_Classic_(26572399588).jpg|800|532|1
cooper-t59|Category:Cooper T59|File:Cooper T59 FJ of Michael Shearer.JPG|commons|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|GTHO|Own work|https://commons.wikimedia.org/wiki/File:Cooper_T59_FJ_of_Michael_Shearer.JPG|800|501|1
eagle-t1f|Category:Eagle T1F|File:Eagle T1F.jpg|commons|CC BY-SA 3.0|https://creativecommons.org/licenses/by-sa/3.0|John Chapman ( Pyrope )|Own work|https://commons.wikimedia.org/wiki/File:Eagle_T1F.jpg|800|485|1
ensign-n173|Category:Ensign N173|File:1973 Ensign N173 at Silverstone Classic 2019.jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|David Merrett|https://www.flickr.com/photos/davehamster/48557920767|https://commons.wikimedia.org/wiki/File:1973_Ensign_N173_at_Silverstone_Classic_2019.jpg|800|916|1
ensign-n175|Category:Ensign N175|File:-33 - Ensign MN175 - 1975.jpg|commons|CC BY 4.0|https://creativecommons.org/licenses/by/4.0|_morgado2|https://www.flickr.com/photos/203235485@N07/54839117364/|https://commons.wikimedia.org/wiki/File:-33_-_Ensign_MN175_-_1975.jpg|800|450|0
ensign-n176|Category:Ensign N176|File:1976 British GP Amon Ensign (2).jpg|commons|CC BY-SA 3.0|https://creativecommons.org/licenses/by-sa/3.0|Gillfoto|Own work|https://commons.wikimedia.org/wiki/File:1976_British_GP_Amon_Ensign_(2).jpg|800|485|0
ensign-n177|Category:Ensign N177|File:Derek Daly - Ensign N177 & Rupert Keegan - Surtees TS20 head down Paddock Hill at the 1978 British Grand Prix (50050265771).jpg|commons|CC BY-SA 2.0|https://creativecommons.org/licenses/by-sa/2.0|Martin Lee from London, UK|Derek Daly - Ensign N177 & Rupert Keegan - Surtees TS20 head down Paddock Hill at the 1978 British Grand Prix|https://commons.wikimedia.org/wiki/File:Derek_Daly_-_Ensign_N177_%26_Rupert_Keegan_-_Surtees_TS20_head_down_Paddock_Hill_at_the_1978_British_Grand_Prix_(50050265771).jpg|800|466|1
ensign-n180|Category:Ensign N180|File:1980 Ensign N180 (20313146392).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|David Merrett from Daventry, England|1980 Ensign N180|https://commons.wikimedia.org/wiki/File:1980_Ensign_N180_(20313146392).jpg|800|532|1
era-a|Category:ERA A-Type|File:1937-05-30 Avus Era Bjørnstad.jpg|commons|Public domain||Unknown photographer|[2]|https://commons.wikimedia.org/wiki/File:1937-05-30_Avus_Era_Bj%C3%B8rnstad.jpg|800|470|0
era-b|Category:ERA B-Type|File:1935 ERA B-Type R7B (49008145807).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|David Merrett from Daventry, England|1935 ERA B-Type R7B|https://commons.wikimedia.org/wiki/File:1935_ERA_B-Type_R7B_(49008145807).jpg|800|532|1
era-e|Category:ERA E-Type|File:1938 ERA E-Type GP1 and a 1938 Maserati 6CM.jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|Dave Hamster|https://www.flickr.com/photos/14265068@N00/45570639402/|https://commons.wikimedia.org/wiki/File:1938_ERA_E-Type_GP1_and_a_1938_Maserati_6CM.jpg|800|532|1
eurobrun-er189b|Category:EuroBrun ER189B|File:ER189B 1.JPG|commons|CC BY-SA 3.0|https://creativecommons.org/licenses/by-sa/3.0|Maclou|Own work|https://commons.wikimedia.org/wiki/File:ER189B_1.JPG|800|272|0
ferrari-125|Category:Ferrari 125 F1|File:Dino Ferrari in Ferrari 125 GPC.jpg|commons|Public domain||Unknown author Unknown author|https://ruiamaraljr.blogspot.com/2012/08/dino.html|https://commons.wikimedia.org/wiki/File:Dino_Ferrari_in_Ferrari_125_GPC.jpg|800|550|1
ferrari-1512|Category:Ferrari 1512|File:Ferrari 1512 (35681758636).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|Neil|Ferrari 1512|https://commons.wikimedia.org/wiki/File:Ferrari_1512_(35681758636).jpg|800|460|1
ferrari-625|Category:Ferrari 625 F1|File:1954 Ferrari 625 F1 front.jpg|commons|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Prova MO|Own work|https://commons.wikimedia.org/wiki/File:1954_Ferrari_625_F1_front.jpg|800|533|1
ferrari-801|Category:Ferrari 801|File:Ferrari 801.jpg|commons|CC BY-SA 3.0|https://creativecommons.org/licenses/by-sa/3.0|Cobra bubbles|Own work|https://commons.wikimedia.org/wiki/File:Ferrari_801.jpg|800|435|1
fittipaldi-f8|Category:Fittipaldi F8|File:1980 Fittipaldi F8 no 1.jpg|commons|CC BY-SA 3.0|https://creativecommons.org/licenses/by-sa/3.0|Mr.choppers|Own work|https://commons.wikimedia.org/wiki/File:1980_Fittipaldi_F8_no_1.jpg|800|524|1
footwork-fa13|Category:Footwork FA13|File:Aguri Suzuki 1992 Footwork FA13 (51862039629).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|Tony Hisgett from Birmingham, UK|Aguri Suzuki 1992 Footwork FA13|https://commons.wikimedia.org/wiki/File:Aguri_Suzuki_1992_Footwork_FA13_(51862039629).jpg|800|498|1
footwork-fa14|Category:Footwork FA14|File:Aguri Suzuki`s Footwork FA14 in the pit garage at the 1993 British Grand Prix (33557474851).jpg|commons|CC BY-SA 2.0|https://creativecommons.org/licenses/by-sa/2.0|Martin Lee from London, UK|Aguri Suzuki`s Footwork FA14 in the pit garage at the 1993 British Grand Prix|https://commons.wikimedia.org/wiki/File:Aguri_Suzuki%60s_Footwork_FA14_in_the_pit_garage_at_the_1993_British_Grand_Prix_(33557474851).jpg|800|533|1
footwork-fa15|Category:Footwork FA15|File:Christian Fittipaldi - Footwork FA15 at the 1994 British Grand Prix (32500439456).jpg|commons|CC BY-SA 2.0|https://creativecommons.org/licenses/by-sa/2.0|Martin Lee from London, UK|Christian Fittipaldi - Footwork FA15 at the 1994 British Grand Prix|https://commons.wikimedia.org/wiki/File:Christian_Fittipaldi_-_Footwork_FA15_at_the_1994_British_Grand_Prix_(32500439456).jpg|800|472|1
force-india-vjm01|Category:Force India VJM01|File:2008 Force India VJM01.jpg|commons|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Calreyn88|Own work|https://commons.wikimedia.org/wiki/File:2008_Force_India_VJM01.jpg|800|543|1
haas-vf-23|Category:Haas VF-23|File:FIA F1 Austria 2023 Nr. 20 (1).jpg|commons|CC BY-SA 4.0|https://creativecommons.org/licenses/by-sa/4.0|Lukas Raich|Own work|https://commons.wikimedia.org/wiki/File:FIA_F1_Austria_2023_Nr._20_(1).jpg|800|450|0
hesketh-308b|Category:Hesketh 308B|File:Hesketh 308B - James Hunt (27422976993).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|Neil|Hesketh 308B - James Hunt|https://commons.wikimedia.org/wiki/File:Hesketh_308B_-_James_Hunt_(27422976993).jpg|800|446|1
hesketh-308d|Category:Hesketh 308D|File:1975 - Hesketh 308D (12678448435).jpg|commons|CC BY 2.0|https://creativecommons.org/licenses/by/2.0|Ozzy Delaney from Birmingham|1975 - Hesketh 308D|https://commons.wikimedia.org/wiki/File:1975_-_Hesketh_308D_(12678448435).jpg|800|1001|1
