# Generated by tools/wikispec_fetch.py on 2026-09-05. Do not edit by hand.
# Source: the per-car articles on en.wikipedia.org, {{Racing car}} infobox. CC BY-SA 4.0.
# Every row was checked against F1DB for constructor and seasons before it was written; see car_specs.log.
# article|chassis_ids|constructor_id|first_year|last_year|designers|chassis_type|susp_front|susp_rear|engine_name|engine_config|aspiration|engine_position|gearbox|gears|brakes|fuel|lubricants|tyres|predecessor|successor|debut|power_note|capacity_cc|power_bhp|weight_kg|wheelbase_mm|track_front_mm|track_rear_mm|fuel_l|races|wins|poles|fastest_laps|podiums|drivers_titles|constructors_titles
Aston Martin AMR21|aston-martin-amr21|aston-martin|2021|2021|Andrew Green ; Tom McCullough ; Akio Haga ; Ian Hall ; Bruce Eddington ; Daniel Carpenter ; Andrew Brown ; Craig Gardiner ; Jonathan Marshall ; Robin Gearing ; William Worrall ; Guru Johl ; Mark Gardiner||||Mercedes-AMG F1 M12 E Performance||Turbo|Rear-mid mounted||||Petronas||Pirelli Cinturato (Wet/Treaded)|Racing Point RP20|Aston Martin AMR22|2021 Bahrain Grand Prix||||752|||||22|0|0|0|1||
Aston Martin AMR22|aston-martin-amr22|aston-martin|2022|2022|Andrew Green ; Tom McCullough ; Luca Furbatto ; Akio Haga ; Ian Hall ; Bruce Eddington ; Daniel Carpenter ; Andrew Brown ; Craig Gardiner ; Jonathan Marshall ; Robin Gearing ; William Worrall ; Ian Grieg ; Guru Johl ; Mark Gardiner||Carbon fibre wishbone and pushrod suspension elements operating inboard torsion bar and damper system|Carbon fibre wishbone and pullrod suspension elements operating inboard torsion bar and damper system|Mercedes-AMG F1 M13 E Performance|V6 (90°)|turbocharged, 15,000 RPM limited|Mid mounted||8-speed + 1 reverse||Petronas E10Aramco]] branding, the car uses Petronas fuel before supplied by Aramco from 2023||Pirelli Cinturato (Wet/Treaded)|Aston Martin AMR21|Aston Martin AMR23|2022 Bahrain Grand Prix|||||||||22|0|0|0|0||
Aston Martin DBR4|aston-martin-dbr4|aston-martin|1959|1960|Ted Cutting|Steel spaceframe.|Double wishbone, with coilover spring/damper units.|de Dion tube, located by trailing arms, with torsion bars.|Aston Martin RB6|DOHC straight-6.|Naturally aspirated|front-mounted.|David Brown CG537|5-speed||||1959: Avon ; 1960: Dunlop||Aston Martin DBR5|1959 Dutch Grand Prix||2493||575|2362|1308|1308||5|0|0|0|||
Aston Martin DBR5|aston-martin-dbr5|aston-martin|1960|1960|Ted Cutting|Steel spaceframe|||Aston Martin RB6|DOHC straight-6|Naturally aspirated|front-mounted|Aston Martin|5-speed||||Dunlop|Aston Martin DBR4|Aston Martin AMR21|1960 British Grand Prix||||575|||||1|0|0|0|||
BAR 002|bar-002|bar|2000|2000|Adrian Reynard ; Malcolm Oastler ; Paul Crooks ; Andrew Green ; Willem Toet ; Simon Lacey|Moulded carbon fibre composite structure|Double wishbones, pushrod/torsion springs/rockers, mechanical anti-roll bar|Double wishbones, pushrod/torsion springs/rockers, mechanical anti-roll bar|Honda RA000E 2994 cc, 80-degree V10||||BAR six-speed longitudinal semi-automatic, sequential|||?|? (Rd. 1&ndash;2),; Nisseki Mitsubishi (Rd. 3&ndash;17)|Bridgestone|01|003|2000 Australian Grand Prix|810 hp @ 17,000 rpm||810||||||17|0|0|0||0|0
BAR 003|bar-003|bar|2001|2001|Adrian Reynard ; Malcolm Oastler ; Gary Savage ; Andrew Green ; Jason Rees ; Willem Toet ; Simon Lacey|Carbon-fibre monocoque|independent, pushrod-activated, inboard spring|independent, pushrod-activated, inboard spring|Honda RA001E|V10 (80°)|naturally aspirated|mid-engine|BAR/Xtrac|6-speed||ENEOS|Nisseki Mitsubishi|Bridgestone|002|004|2001 Australian Grand Prix|800 hp @ 17,000 rpm||800||||||17|0|0|0||0|0
BAR 004|bar-004|bar|2002|2002|Malcolm Oastler ; Gary Savage ; Andrew Green ; Jason Rees ; Willem Toet ; Simon Lacey|Carbon-fibre monocoque|independent, pushrod-activated, inboard spring|independent, pushrod-activated, inboard spring|Honda RA002E|V10 (94°)|naturally aspirated|mid-engine|BAR/Xtrac|7-speed||Elf||Bridgestone|003|005|2002 Australian Grand Prix|835 hp @ 18,200 rpm|2994|835||||||17|0|0|0||0|0
BAR 005|bar-005|bar|2003|2003|Geoff Willis ; Jörg Zander ; Willem Toet ; Simon Lacey ; Kazutoshi Nishizawa|Carbon fiber composite monocoque|Double wishbones, push rod operated torsion springs and dampers|As front|Honda RA003E|V10 90°|naturally aspirated|mid-mounted|X-Trac|7 forward gears + 1 reverse||Castrol||Bridgestone|004|006|2003 Australian Grand Prix|835 hp @ 18,200 rpm|2994|835||||||16|0|0|0||0|0
BAR 006|bar-006+bar-007|bar|2004|2005|Geoff Willis ; Gary Savage ; Kevin Taylor ; Willem Toet ; Mark Ellis ; Ian Wright ; Jörg Zander ; Simon Lacey ; Mariano Alperin ; Takeo Kiuchi|Composite monocoque|Double wishbones, push rod-operated torsion springs and dampers|Double wishbones, push rod-operated torsion springs and dampers|Honda RA004E|90° V10|naturally aspirated|mid-mounted|X-Trac|7-speed||Elf|ENEOS|Michelin|005|007|2004 Australian Grand Prix|940-960 hp @ 18,700 RPM|3000|960||||||18|0|1|0|11|0|0
BAR 01|bar-01|bar|1999|1999|Adrian Reynard ; Malcolm Oastler ; Paul Crooks ; Andrew Green ; Simon Lacey|Moulded carbon fibre composite structure|Double wishbones, pushrod with coaxial spring/damper, and torsion bar|Double wishbones, pushrod|Supertec FB01 (badged Renault RS9), 3.0-litre V10 (71°), mid-engined||||BAR/Xtrac six-speed longitudinal sequential semi-automatic|||Elf||Bridgestone|Tyrrell 026|002|1999 Australian Grand Prix|780 hp @ 15,800 rpm||780||||||16|0|0|0||0|0
BMW Sauber F1.06|bmw-sauber-f1-06|bmw-sauber|2006|2006|Willy Rampf ; Jacky Eeckelaert ; Christoph Zimmermann ; Matt Cranor ; Ruedi Schorno ; Seamus Mullarkey ; Dirk de Beer ; Heinz Paschen ; Angelo Camerini|carbon-fibre monocoque|Upper and lower wishbones, inboard springs and dampers, actuated by pushrods|As front|BMW P86|V8|||BMW Sauber|7-speed||Petronas|Petronas Syntium lubrication|Michelin|Sauber C24|BMW Sauber F1.07|2006 Bahrain Grand Prix|760 hp @ 19,500 rpm||760|600|3110|1470|1470||18|0|0|0||0|0
BMW Sauber F1.07|bmw-sauber-f1-07|bmw-sauber|2007|2007|Willy Rampf ; Walter Riedl ; Jörg Zander ; Thomas Knodel ; Jochen Schröder ; Loïc Serra ; Willem Toet ; Seamus Mullarkey ; Heinz Paschen ; Angelo Camerini|Carbon-fibre and honeycomb composite monocoque|Double wishbone, push-rod activated inboard spring/damper. Zero keel geometry|Double wishbone, push-rod activated inboard spring/damper|BMW P86/7|90° V8|naturally aspirated|mid-engine, longitudinally mounted|BMW Sauber|7-speed|Brembo carbon brake discs with 6-piston calipers and Carbone Industrie pads|Petronas Primax|Petronas Syntium|Bridgestone|BMW Sauber F1.06|BMW Sauber F1.08|2007 Australian Grand Prix|750 hp||750|605|3110|1470|1470||17|0|0|0|||0
BMW Sauber F1.08|bmw-sauber-f1-08|bmw-sauber|2008|2008|Willy Rampf ; Walter Riedl ; Christoph Zimmermann ; Thomas Knodel ; Loïc Serra ; Willem Toet ; Seamus Mullarkey ; Markus Duesmann ; Angelo Camerini|Carbon-fibre monocoque|Upper and lower wishbones, push-rod activated inboard spring/damper (Sachs Race Engineering). Zero keel geometry|As front|BMW P86/8|V8 (90°).|Naturally aspirated, 19,000 RPM Limited|mid-engine, longitudinally mounted|BMW Sauber|7-speed||Petronas||Bridgestone Potenza; OZ Wheels Front & Rear|BMW Sauber F1.07|BMW Sauber F1.09|2008 Australian Grand Prix||2400||605|3130|1470|1470||18|1|1|2|11||
BMW Sauber F1.09|bmw-sauber-f1-09|bmw-sauber|2009|2009|Willy Rampf ; Walter Riedl ; Christoph Zimmermann ; Thomas Knodel ; Loïc Serra ; Willem Toet ; Mariano Alperin ; Seamus Mullarkey ; Christian Ebner ; Markus Duesmann|Carbon fibre monocoque|Upper and lower wishbones, inboard springs and dampers, actuated by pushrods|As front|BMW P86/9|V8|Naturally aspirated, 18,000 RPM Limited with KERS|||7 forward speeds + 1 reverse||Petronas||Bridgestone Potenza; OZ Wheels|BMW Sauber F1.08|Sauber C29|2009 Australian Grand Prix|||||||||17|0|0|0|2||
BRM P115|brm-p115|brm|1967|1968|Tony Rudd|Magnesium alloy monocoque|Double wishbone, with inboard spring/damper units|Double wishbone, with outboard coilover spring/damper units|BRM P75|H16|naturally aspirated|mid-mounted||6-speed||Shell||Goodyear|BRM P83|BRM P126|1967 German Grand Prix||2996|||||||6|0|0|0||0|0
BRM P126|brm-p126|brm|1968|1969|Len Terry|Magnesium alloy monocoque|||BRM P101|V12|naturally aspirated|mid-mounted||5-speed||Shell||Goodyear; Dunlop|P115|P133|1968 South African Grand Prix||2998||565|2375|1575|1575||15|0|0|1||0|0
BRM P133|brm-p133|brm|1968|1969|Len Terry|Aluminium alloy monocoque|Double wishbones|coil springs over dampers|BRM P142|V12|Naturally aspirated|mid-mounted|Hewland DG300|5-speed||Shell||Goodyear|P126|P138|1968 Spanish Grand Prix||2998||565|2375|1575|1575||15|0|0|1||0|0
BRM P138|brm-p138|brm|1968|1969|Len Terry|Aluminium alloy monocoque|||BRM|V12|naturally aspirated|mid-mounted|BRM|5-speed||Shell||1968: Goodyear ; 1969: Dunlop|P133|P139|1968 Spanish Grand Prix||2998||540|2375|1575|1575||10|0|0|0||0|0
BRM P139|brm-p139|brm|1969|1970|Alec Osborn|Aluminium alloy monocoque|Lower wishbones, top rockers actuating vertically mounted inboard coil springs over dampers, anti-roll bar|Reversed lower wishbones, top links, twin radius rods, coil springs over dampers, anti-roll bar|BRM P142|V12|Naturally aspirated|mid-mounted|BRM|5-speed||Shell||Dunlop|P138|P153|1969 British Grand Prix||2998||550|2426|1549|1549||8|0|0|0|||
BRM P160|brm-p160|brm|1971|1971|Tony Southgate|Aluminium semi-monocoque with rear tubular subframe|Double wishbones, coil springs|Double wishbones, coil springs|BRM P142|V12|naturally aspirated|mid-mounted|BRM P161|5-speed||1971: Shell ; 1972: BP ; 1973: STP ; 1974: Motul||Firestone|P153|P180 / P201|1971 South African Grand Prix||2998||573|2480|1575|1575||50|3|0|0||0|0
BRM P180|brm-p180|brm|1972|1972|Tony Southgate|Aluminium monocoque|Double wishbones, coil springs|Double wishbones, coil springs|BRM|V12|naturally aspirated|mid-mounted|BRM 161|5-speed||BP||Firestone|P160|P201|1972 Spanish Grand Prix||2998|||2540|1473|1473||5|0|0|0||0|0
BRM P201|brm-p201|brm|1974|1975|Mike Pilbeam|Aluminium alloy monocoque|||BRM|V12|naturally aspirated|mid-mounted|BRM|5-speed||||Firestone (1974); Goodyear (1975–1977)|P160 / P180|P207|1974 South African Grand Prix||2998||586|2591|1540|1540||26|0|0|0|||
BRM P207|brm-p207|brm|1977|1977|Len Terry|Aluminium alloy monocoque|Double wishbones, coil springs|Double wishbones, coil springs|BRM|V12|naturally aspirated|mid-mounted|BRM T193|5-speed||FINA||Goodyear|P201|P230|1977 Brazilian Grand Prix||2998||615|2642|1422|1422||9|0|0|0||0|0
BRM P25|brm-p25|brm|1956|1960|Stewart Tresilian; Tony Rudd|Steel box-section ladder.|Porsche-type trailing arms, with Lockheed air struts.|de Dion tube, with Lockheed air struts.|BRM 25|Inline-four|Normally aspirated|front-mounted.|BRM|4-speed||Petrol/alcohol mix.||Dunlop.|BRM P30|BRM P48|1956 British Grand Prix||2491|||||||25|1|1|1|||
BRM P261|brm-p261|brm|1964|1968|Tony Rudd|Duralumin monocoque|Double wishbone, with inboard spring/damper units|Double wishbone, with outboard coilover spring/damper units|BRM P56|V8|Naturally aspirated|mid-mounted|BRM P72|6-speed||Shell||Dunlop|BRM P61|BRM P67 / BRM P83|1964 Monaco Grand Prix||1498|||||||34|6|5|4||0|0
BRM P48|brm-p48+brm-p48-57|brm|1960|1962|Stewart Tresilian|Steel ladder frame|double wishbones, coil springs over dampers, anti-roll bar|double wishbones, coil springs over dampers, anti-roll bar|British Racing Motors 25|S4|N/A|rear-mounted.|British Racing Motors|4-speed||Petrol/alcohol mix.||Dunlop.|P25|P57 Climax|1960 Monaco Grand Prix||2491|||||||7|0|0|1|||
BRM P57|brm-p57|brm|1962|1965|Tony Rudd|spaceframe|1961: double wishbones, coil springs over dampers, anti-roll bar. ; 1962: IFS Double wishbone, outboard spring/damper.|1961: double wishbones, coil springs over dampers, anti-roll bar. ; 1962: IRS with double wishbones, coil springs over dampers, anti-roll bar.|1961: Coventry Climax FPF 1496cc S4 naturally aspirated Mid-engined, longitudinally mounted. ; 1962: BRM P56 1498cc V8 naturally aspirated Mid-engined, longitudinally mounted.|||||1961: 5-speed manual ZF differential. ; 1962: Colotti, later BRM 6 speed Colotti, 5 speed BRM manual ZF differential||||Dunlop|P48|P61/P261|1961 Monaco Grand Prix|||||||||40|6|3|3|17|1|1
BRM P61|brm-p61|brm|1963|1963|Tony Rudd|semi-monocoque|Double wishbone, outboard spring/damper.|de Dion tube, with double wishbones, coil springs over dampers, anti-roll bar|BRM 56|V8|naturally aspirated|Mid-engined, longitudinally mounted|BRM|6 speed||||Dunlop|P57|P261|1963 French Grand Prix||1498|||||||2|0|0|0||0|0
BRM P67|brm-p67|brm|1964|1964|Tony Rudd|Duralumin monocoque|Double wishbone, with inboard spring/damper units|Double wishbone, with outboard coilover spring/damper units|BRM P56|V8|Naturally aspirated|mid-mounted|BRM P72|6-speed||Shell||Dunlop|P261|P83|1964 British Grand Prix||1498||525|||||1|0|0|0||0|0
BRM P83|brm-p83|brm|1966|1967|Tony Rudd; John Crosthwaite|Duralumin monocoque|Double wishbone, with inboard spring/damper units|Double wishbone, with outboard coilover spring/damper units|BRM P75|H16|naturally aspirated|mid-mounted||6-speed||Shell||Dunlop, Goodyear|BRM P261 / BRM P67|BRM P115|1966 Italian Grand Prix||2999|||||||14|0|0|0||0|0
Benetton B186|benetton-b186|benetton|1986|1986|Rory Byrne; Paul Rosche (Engine designer (BMW))|Moulded Carbon fibre composite monocoque|Double wishbones, pullrods|Double wishbones, pushrods|BMW M12/13|Inline 4|turbo|mid-engine, longitudinally mounted|Benetton|6-speed||BMW Wintershall||Pirelli|Toleman TG185|B187|1986 Brazilian Grand Prix|(qualifying trim) 1681 bhp @ 11,000 rpm ; 1532 N.m @ 8,000 rpm ; (race-spec) ; 900 bhp @ 11,000 rpm ; 560 N.m @ 8,000 rpm|1496|1681|548|2743|1816|1816||16|1|2|3|2|0|0
Benetton B187|benetton-b187|benetton|1987|1987|Rory Byrne ; Keith Duckworth ; Geoff Goddard|Carbon fibre monocoque|Double wishbones, pushrods|Double wishbones, pushrods|Ford TEC|120° V6|turbo (4.0 Bar limited)|mid-engine, longitudinally mounted|Benetton|6-speed||Mobil||Goodyear|B186|B188|1987 Brazilian Grand Prix||1497||540|2692|1816|1816||16|0|0|1|2|0|0
Benetton B188|benetton-b188|benetton|1988|1989|Rory Byrne ; Geoff Goddard|Carbon fibre monocoque|Double wishbone, pull-rod|Double wishbone, pushrod|Ford DFR|90° V8|NA|mid-engine, longitudinally-mounted|Benetton|6-speed||Mobil||Goodyear|B187|B189|1988 Brazilian Grand Prix|585-620 hp @ 11,000 rpm|3493|620|500|2690|1816|1816||24|0|0|1|8|0|0
Benetton B189|benetton-b189+benetton-b189b|benetton|1989|1990|Rory Byrne ; Geoff Goddard|Carbon fibre monocoque|Double-wishbone, push-rod|Double-wishbone, push-rod|1989: Ford HBA1, 3498 cc, 75° V8, NA, mid-engine, longitudinally-mounted; 1989/1990: Ford HBA4, 3498 cc, 75° V8, NA, mid-engine, longitudinally-mounted||||Benetton transverse|6-speed||Mobil 1||Goodyear|Benetton B188|Benetton B190|1989 French Grand Prix|630-650 hp @ 13,000 rpm||650||||||12|1|0|0|2|0|0
Benetton B190|benetton-b190+benetton-b190b|benetton|1990|1991|John Barnard ; Rory Byrne ; Geoff Goddard|Carbon-fibre monocoque|Double-wishbone, push-rod|Double-wishbone, push-rod|Ford HBA4|75° V8|NA|mid-engine, longitudinally-mounted|Benetton transverse|6-speed||Mobil||1990: Goodyear ; 1991: Pirelli|Benetton B189|Benetton B191|1990 San Marino Grand Prix|650 hp @ 13,000 rpm|3498|650|500|2870|1816|1816||16|2|0|1|9|0|0
Benetton B191|benetton-b191+benetton-b191b|benetton|1991|1992|John Barnard ; Mike Coughlan ; Dominic Smith ; Geoff Goddard|Carbon fibre monocoque|Double wishbone, pushrod|Double wishbone, pushrod|Ford HBA5|75° V8|NA|mid-engine, longitudinally-mounted|Benetton transverse|6-speed||Mobil||1991: Pirelli; 1992: Goodyear|B190|B192|1991 San Marino Grand Prix|660 hp @ 12,000 rpm|3498|660|505|2880|1818|1818||17|1|0|1|4|0|0
Benetton B192|benetton-b192|benetton|1992|1992|Ross Brawn ; Rory Byrne ; Frank Dernie ; Pat Symonds ; Richard Marshall ; Willem Toet ; Geoff Goddard|Carbon fibre monocoque|Double wishbone, pushrod|Double wishbone, pushrod|Ford HBA7|75° V8|NA|mid-engine, longitudinally-mounted|Benetton transverse|6-speed||Mobil||Goodyear|B191|B193|1992 Spanish Grand Prix|660-680 bhp @ 12,000-13,000 rpm|3498|680||||||13|1|0|2|11|0|0
Benetton B193|benetton-b193+benetton-b193b|benetton|1993|1993|Ross Brawn ; Rory Byrne ; Pat Symonds ; Richard Marshall ; Willem Toet ; Geoff Goddard|Carbon fibre monocoque|Double wishbones, pushrod|Double wishbones, pushrod|Ford HBA7 / Ford HBA8|75° V8|NA|mid-engine, longitudinally-mounted|Benetton transverse|6-speed||Elf||Goodyear|B192|B194|1993 South African Grand Prix|700-730 hp @ 13,200 rpm|3498|730|505|2880|1690|1690||16|1|0|5|11|0|0
Benetton B194|benetton-b194|benetton|1994|1994|Ross Brawn ; Rory Byrne ; Pat Symonds ; Willem Toet ; Geoff Goddard|Carbon fibre monocoque|Double wishbones, pushrod|Double wishbones, pushrod|Ford EC Zetec-R|75° V8|NA|mid-engine, longitudinally mounted|Benetton transverse|6-speed||Elf||Goodyear|B193|B195|1994 Brazilian Grand Prix|730-740 hp @ 14,500 rpm|3498|740|515|2880|1690|1690||16|8|6|8|12|1|0
Benetton B195|benetton-b195|benetton|1995|1995|Ross Brawn ; Rory Byrne ; Pat Symonds ; Nikolas Tombazis ; Bernard Dudot|Carbon fibre monocoque|Double wishbone, pushrod|Double wishbone, pushrod|Renault RS7|67° V10|NA|mid-engine, longitudinally-mounted|Benetton transverse|6-speed||Elf||Goodyear|B194|B196|1995 Brazilian Grand Prix|675-700 bhp @ 15,200-15,600 rpm|3000|700||||||17|11|4|8|15|1|1
Benetton B196|benetton-b196|benetton|1996|1996|Ross Brawn ; Rory Byrne ; Pat Symonds ; Nikolas Tombazis ; Bernard Dudot|Carbon fibre monocoque|Double wishbone, pushrod|Double wishbone, pushrod|Renault RS8/RS8B|72° V10|NA|mid-engine, longitudinally-mounted|Benetton transverse|7-speed, with the possibility of running a 6-speed||Elf||Goodyear|B195|B197|1996 Australian Grand Prix|700 hp @ 16,000 rpm|3000|700||||||16|0|0|3|10|0|0
Benetton B197|benetton-b197|benetton|1997|1997|Pat Symonds ; Rory Byrne ; Nick Wirth ; Nikolas Tombazis ; Bernard Dudot|carbon-fibre and honeycomb composite structure|double wishbones, pushrod, triple damper|double wishbones, pushrod, double damper|Renault RS9/RS9A/RS9B|71° V10|||Benetton six-speed longitudinal sequential semi-automatic|||Agip||Goodyear|B196|B198|1997 Australian Grand Prix|730-755 hp @ 17,000 rpm||755||||||17|1|2|2|8|0|0
Benetton B198|benetton-b198|benetton|1998|1998|Pat Symonds (Technical Director); Nick Wirth (Chief Designer); James Allison (Head of Aerodynamics)|Moulded carbon composite monocoque|Double carbon wishbones, pushrod, triple damper|Double wishbones, pushrod, double damper|Playlife (Renault RS9)|71° V10|NA|Mid-engine|Benetton 6-speed longitudinal sequential semi-automatic|||Agip||Bridgestone|B197|B199|1998 Australian Grand Prix|750 hp (559 kW) @ 14,000 rpm||750||||||16|0|1|1|2||
Benetton B199|benetton-b199|benetton|1999|1999|Pat Symonds (Technical Director); Nick Wirth (Chief Designer); James Allison (Head of Aerodynamics)|Moulded carbon fibre/honeycomb composite structure moulded in upper and lower halves, with four lateral bulkheads|Double wishbones, pushrod|Double wishbones, pushrod|Playlife (Supertec/Renault) FB01, 71-degree V10||||Benetton|six-speed||Agip||Bridgestone|B198|B200|1999 Australian Grand Prix|750 hp @ 14,000 rpm||750||||||16|0|0|0|1|0|0
Benetton B200|benetton-b200|benetton|2000|2000|Pat Symonds (Technical Director); Tim Densham (Chief Designer) ; Ben Agathangelou (Head of Aerodynamics)|Moulded carbon-fibre monocoque|Double wishbones, pushrod/torsion bar|Double wishbones, pushrod/coil spring|Playlife-badged Renault-derived Supertec FB02|V10|Naturally-aspirated|mid-mounted|Benetton|6-speed||Agip||Bridgestone|B199|B201|2000 Australian Grand Prix|775-780 hp @ 17,500 rpm|2998|780|600||1450|1450||17|0|0|0|3|0|0
